pair_id,experiment_id,experiment_type,source_claim_family_id,target_claim_family_id,source_setting_id,target_setting_id,source_dataset,target_dataset,source_feature_space,target_feature_space,source_claim_type,target_claim_type,source_target,target_target,roi_match_strategy,n_source_features,n_target_features,n_matched_features,n_source_support,n_target_support,evidence_metrics.evidence_spearman,evidence_metrics.evidence_pearson,evidence_metrics.rank_overlap_topk,evidence_metrics.weighted_jaccard_abs,evidence_metrics.n_matched,support_metrics.source_support_size,support_metrics.target_support_size,support_metrics.support_jaccard,support_metrics.support_overlap_count,support_metrics.support_overlap_fraction_source,support_metrics.support_overlap_fraction_target,direction_metrics.direction_retention_all,direction_metrics.direction_retention_source_support,direction_metrics.sign_flip_fraction_all,direction_metrics.sign_flip_fraction_source_support,magnitude_metrics.magnitude_drift_all,magnitude_metrics.magnitude_drift_source_support,transfer_metrics.n,transfer_metrics.n_positive,transfer_metrics.n_negative,transfer_metrics.auc_raw,transfer_metrics.auc_oriented,transfer_metrics.cohens_d,transfer_metrics.point_biserial_corr,stability_label,transfer_label,overall_label,warnings,status,transfer_metrics.spearman_corr,transfer_metrics.pearson_corr,transfer_metrics.slope_simple,group_metrics.group_evidence_spearman,group_metrics.group_evidence_pearson,group_metrics.group_support_jaccard,group_metrics.group_direction_retention,group_metrics.n_matched_groups,transfer_metrics.error
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_011_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_CORTICAL_VOLUME_AD_TO_CDR,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,weak_label_transfer,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_CDR_IMPAIRMENT_9a4bc2fb06,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_CDR_IMPAIRMENT,ADNI_baseline,OASIS1_baseline,fs8_cortical_volume,fs8_cortical_volume,diagnosis_contrast,cdr_impairment_contrast,diagnosis_binary_ad_cn,diagnosis_binary_impairment_cdr,exact_roi,68,68,68,20,20,0.793335114707791,0.8501042983558381,0.7391304347826086,0.3117582020411037,68,20.0,20.0,0.7391304347826086,17.0,0.85,0.85,0.9705882352941176,1.0,0.02941176470588236,0.0,0.4256198882798201,0.6951808259780894,235.0,100.0,135.0,0.6854814814814815,0.6854814814814815,0.6946399663497146,0.3260663336776769,stable,moderate,stable_and_transferable,,evaluated,,,,,,,,,
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_012_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,cross_dataset_transfer,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE_6b265c44ab,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE_543c6804cb,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE,ADNI_baseline,OASIS1_baseline,fs8_subcortical_volume,fs8_subcortical_volume,mmse_association,mmse_association,mmse,mmse,exact_roi,64,64,64,20,20,0.912030317690695,0.94408992418723,0.8181818181818182,0.5406999707679527,53,20.0,20.0,0.8181818181818182,18.0,0.9,0.9,0.9622641509433962,1.0,0.037735849056603765,0.0,0.2862599936842865,0.1868564915173135,235.0,,,,,,,stable,strong,stable_and_transferable,,evaluated,0.4980881652530853,0.4860088775921353,0.5274337971896607,,,,,,
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_013_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,cross_dataset_transfer,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE_fa1c14f686,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE_4afe8f975c,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE,ADNI_baseline,OASIS1_baseline,fs8_subcortical_volume,fs8_subcortical_volume,age_association,age_association,age,age,exact_roi,64,64,64,20,20,0.905418480890179,0.9458506846745043,0.6666666666666666,0.7448238646872221,53,20.0,20.0,0.6666666666666666,16.0,0.8,0.8,0.8867924528301887,1.0,0.1132075471698113,0.0,0.27270654305708336,0.2142709360815406,436.0,,,,,,,stable,strong,stable_and_transferable,,evaluated,0.8120652147517923,0.8068128874727901,4.747850721552187,,,,,,
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_014_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_AD_TO_CDR,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,weak_label_transfer,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD_fb416146ad,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_CDR_IMPAIRMENT_38946d7d18,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_CDR_IMPAIRMENT,ADNI_baseline,OASIS1_baseline,fs8_subcortical_volume,fs8_subcortical_volume,diagnosis_contrast,cdr_impairment_contrast,diagnosis_binary_ad_cn,diagnosis_binary_impairment_cdr,exact_roi,64,64,64,20,20,0.8906627963231737,0.9458320484339223,0.8181818181818182,0.5038353812508818,53,20.0,20.0,0.8181818181818182,18.0,0.9,0.9,0.7735849056603774,1.0,0.2264150943396226,0.0,0.2854127578438636,0.12428387941403166,235.0,100.0,135.0,0.7974074074074075,0.7974074074074075,1.1511132113387328,0.49623460283032417,stable,strong,stable_and_transferable,,evaluated,,,,,,,,,
E3_FS8_VS_SPM_THICKNESS_DRIFT_015_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_AD,E3_FS8_VS_SPM_THICKNESS_DRIFT,pipeline_drift,ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_AD_e23c09f7c3,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_AD_ddab764881,ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_AD,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_AD,ADNI_SPM_MATCHED,ADNI_SPM_MATCHED,fs8_thickness_schaefer200_7,spm_thickness_schaefer200_7,diagnosis_contrast,diagnosis_contrast,diagnosis_binary_ad_cn,diagnosis_binary_ad_cn,exact_roi,202,202,202,20,20,0.8203058744224544,0.7621443264386435,0.6,0.5153039661472558,202,20.0,20.0,0.6,15.0,0.75,0.75,0.9752475247524752,1.0,0.024752475247524774,0.0,0.4350092136402639,0.7327474134633601,1554.0,686.0,868.0,0.8132431379398369,0.8132431379398369,1.2363024124493873,0.523422354905963,stable,strong,stable_and_transferable,,evaluated,,,,,,,,,
E3_FS8_VS_SPM_THICKNESS_DRIFT_016_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI,E3_FS8_VS_SPM_THICKNESS_DRIFT,pipeline_drift,ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_MCI_7c0406a16d,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI_e1d9dcf4d7,ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_MCI,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI,ADNI_SPM_MATCHED,ADNI_SPM_MATCHED,fs8_thickness_schaefer200_7,spm_thickness_schaefer200_7,diagnosis_contrast,diagnosis_contrast,diagnosis_binary_mci_cn,diagnosis_binary_mci_cn,exact_roi,202,202,202,20,20,0.7343555839298362,0.6668869173231479,0.6666666666666666,0.3600923393780127,202,20.0,20.0,0.6666666666666666,16.0,0.8,0.8,0.8663366336633663,0.9,0.13366336633663367,0.09999999999999998,0.5146588034848614,0.9369063221926393,2203.0,1335.0,868.0,0.594307806486132,0.594307806486132,0.3323717775329453,0.1603795182765649,stable,weak,stable_not_transferable,,evaluated,,,,,,,,,
E3_FS8_VS_SPM_THICKNESS_DRIFT_017_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_MMSE,E3_FS8_VS_SPM_THICKNESS_DRIFT,pipeline_drift,ADNI_SPM_MATCHED_FS8_SCHAEFER7_MMSE_198f984def,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_MMSE_ac6aba6146,ADNI_SPM_MATCHED_FS8_SCHAEFER7_MMSE,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_MMSE,ADNI_SPM_MATCHED,ADNI_SPM_MATCHED,fs8_thickness_schaefer200_7,spm_thickness_schaefer200_7,mmse_association,mmse_association,mmse,mmse,exact_roi,202,202,202,20,20,0.855495482641419,0.8165459304350547,0.5384615384615384,0.5706424504782481,202,20.0,20.0,0.5384615384615384,14.0,0.7,0.7,0.9851485148514851,1.0,0.014851485148514865,0.0,0.40403440191067164,0.820471423121272,2892.0,,,,,,,stable,strong,stable_and_transferable,,evaluated,0.4319838449947505,0.4562829141094333,0.1941289870460764,,,,,,
E3_FS8_VS_SPM_THICKNESS_DRIFT_018_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_AGE,E3_FS8_VS_SPM_THICKNESS_DRIFT,pipeline_drift,ADNI_SPM_MATCHED_FS8_SCHAEFER7_AGE_7de109da98,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_AGE_aa5f5a8be7,ADNI_SPM_MATCHED_FS8_SCHAEFER7_AGE,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_AGE,ADNI_SPM_MATCHED,ADNI_SPM_MATCHED,fs8_thickness_schaefer200_7,spm_thickness_schaefer200_7,age_association,age_association,age,age,exact_roi,202,202,202,20,20,0.5142465500134309,0.4851768072810426,0.25,0.7156690086419946,202,20.0,20.0,0.25,8.0,0.4,0.4,0.995049504950495,1.0,0.004950495049504955,0.0,0.7434342504419348,1.0315779788750306,2892.0,,,,,,,moderate,moderate,transferable_but_drifted,,evaluated,0.29422116910184826,0.26924231185127867,0.21621307730726194,,,,,,
E3_FS8_VS_SPM_THICKNESS_DRIFT_019_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_AD,E3_FS8_VS_SPM_THICKNESS_DRIFT,pipeline_drift,ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_AD_e23c09f7c3,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_AD_60b272e3d3,ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_AD,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_AD,ADNI_SPM_MATCHED,ADNI_SPM_MATCHED,fs8_thickness_schaefer200_7,spm_thickness_schaefer200_17,diagnosis_contrast,diagnosis_contrast,diagnosis_binary_ad_cn,diagnosis_binary_ad_cn,network_7_like,202,202,7,20,20,0.8928571428571429,0.9289393780591993,1.0,,7,,,1.0,,,,,1.0,,,0.3302165330401799,0.3302165330401799,,,,,,,,stable,insufficient,stable_not_transferable,,evaluated,,,,0.8928571428571429,0.9289393780591993,1.0,1.0,7.0,claim-score transfer requires exact matched target feature columns
E3_FS8_VS_SPM_THICKNESS_DRIFT_020_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_MCI,E3_FS8_VS_SPM_THICKNESS_DRIFT,pipeline_drift,ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_MCI_7c0406a16d,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_MCI_4a40598347,ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_MCI,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_MCI,ADNI_SPM_MATCHED,ADNI_SPM_MATCHED,fs8_thickness_schaefer200_7,spm_thickness_schaefer200_17,diagnosis_contrast,diagnosis_contrast,diagnosis_binary_mci_cn,diagnosis_binary_mci_cn,network_7_like,202,202,7,20,20,0.9285714285714288,0.9365881689207862,1.0,,7,,,1.0,,,,,1.0,,,0.3008326989609949,0.3008326989609949,,,,,,,,stable,insufficient,stable_not_transferable,,evaluated,,,,0.9285714285714288,0.9365881689207862,1.0,1.0,7.0,claim-score transfer requires exact matched target feature columns
