pair_id,experiment_id,magnitude_drift_all,magnitude_drift_source_support
E3_FS8_VS_SPM_THICKNESS_DRIFT_021_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_MMSE,E3_FS8_VS_SPM_THICKNESS_DRIFT,0.30354470550158447,0.30354470550158447
E3_FS8_VS_SPM_THICKNESS_DRIFT_022_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_AGE,E3_FS8_VS_SPM_THICKNESS_DRIFT,0.5949798640267128,0.5949798640267128
E3_FS8_VS_SPM_THICKNESS_DRIFT_023_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_AD,E3_FS8_VS_SPM_THICKNESS_DRIFT,0.09602755656073636,0.09602755656073636
E3_FS8_VS_SPM_THICKNESS_DRIFT_024_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_MCI,E3_FS8_VS_SPM_THICKNESS_DRIFT,0.06216301196770021,0.06216301196770021
E3_FS8_VS_SPM_THICKNESS_DRIFT_025_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_MMSE,E3_FS8_VS_SPM_THICKNESS_DRIFT,0.12467978199392289,0.12467978199392289
E3_FS8_VS_SPM_THICKNESS_DRIFT_026_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_AGE,E3_FS8_VS_SPM_THICKNESS_DRIFT,0.16435840449483013,0.16435840449483013
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_027_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_DX_CN_AD,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,0.3799318214226035,0.6029293332952287
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_028_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_DX_CN_MCI,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,0.3933299233820156,0.4941876359537537
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_029_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_MMSE,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,0.399771366483305,0.6929964208887472
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_030_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_AGE,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,0.7056183526602299,1.1725790224489787
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_031_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_DX_CN_AD,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,0.2285163152678066,0.14933048508999502
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_032_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_DX_CN_MCI,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,0.22518499832462313,0.15992359396303588
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_033_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_MMSE,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,0.22233173300886885,0.17191228606423417
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_034_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_AGE,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,0.2508958105404468,0.14743094896682182
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_035_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_DX_CN_AD,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.3105183302760226,0.3105183302760226
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_036_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_DX_CN_MCI,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.30828657032739454,0.30828657032739454
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_037_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.31324066404233636,0.31324066404233636
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_038_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.2370771936116319,0.2370771936116319
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_039_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.6249746045382976,0.6249746045382976
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_040_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_MCI,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.3989032425486449,0.3989032425486449
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_041_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.6290485468290147,0.6290485468290147
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_042_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_AGE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.4187795429648798,0.4187795429648798
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_043_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_TO_ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,0.4854297097130799,0.4854297097130799
