pair_id,experiment_id,evidence_spearman,evidence_pearson,rank_overlap_topk,weighted_jaccard_abs,n_matched
E3_FS8_VS_SPM_THICKNESS_DRIFT_019_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_AD,E3_FS8_VS_SPM_THICKNESS_DRIFT,0.8928571428571429,0.9289393780591993,1.0,,7
E3_FS8_VS_SPM_THICKNESS_DRIFT_020_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_MCI,E3_FS8_VS_SPM_THICKNESS_DRIFT,0.9285714285714288,0.9365881689207862,1.0,,7
E3_FS8_VS_SPM_THICKNESS_DRIFT_021_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_MMSE,E3_FS8_VS_SPM_THICKNESS_DRIFT,0.9642857142857145,0.9356843510117747,1.0,,7
E3_FS8_VS_SPM_THICKNESS_DRIFT_022_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_AGE,E3_FS8_VS_SPM_THICKNESS_DRIFT,0.5357142857142858,0.7608978348915685,1.0,,7
E3_FS8_VS_SPM_THICKNESS_DRIFT_023_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_AD,E3_FS8_VS_SPM_THICKNESS_DRIFT,1.0,0.9927237086791493,1.0,,7
E3_FS8_VS_SPM_THICKNESS_DRIFT_024_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_MCI,E3_FS8_VS_SPM_THICKNESS_DRIFT,1.0,0.997017072210095,1.0,,7
E3_FS8_VS_SPM_THICKNESS_DRIFT_025_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_MMSE,E3_FS8_VS_SPM_THICKNESS_DRIFT,0.9285714285714288,0.98627920500929,1.0,,7
E3_FS8_VS_SPM_THICKNESS_DRIFT_026_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_AGE,E3_FS8_VS_SPM_THICKNESS_DRIFT,0.8571428571428573,0.9716557023724953,1.0,,7
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_027_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_DX_CN_AD,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,0.8775150462088591,0.8771002332889808,0.05263157894736842,0.1665006958709545,62
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_028_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_DX_CN_MCI,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,0.896351136964569,0.8796093502815377,0.02564102564102564,0.3051423737691078,62
