pair_id,experiment_id,experiment_type,source_dataset,source_feature_space,source_setting_id,source_claim_type,source_target,source_filter,target_dataset,target_feature_space,target_setting_id,target_claim_type,target_target,target_filter,roi_match_strategy,transfer_target,transfer_target_type,positive_label,negative_label,use_claim_level,use_weight_metric,top_k,standardize_target_features,notes
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_011_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_CORTICAL_VOLUME_AD_TO_CDR,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,weak_label_transfer,ADNI_baseline,fs8_cortical_volume,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD,diagnosis_contrast,diagnosis_binary_ad_cn,,OASIS1_baseline,fs8_cortical_volume,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_CDR_IMPAIRMENT,cdr_impairment_contrast,diagnosis_binary_impairment_cdr,,exact_roi,diagnosis_binary_impairment_cdr,binary,CDR_impairment,CDR_0,composite,coefficient,20,True,[]
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_012_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,cross_dataset_transfer,ADNI_baseline,fs8_subcortical_volume,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE,mmse_association,mmse,,OASIS1_baseline,fs8_subcortical_volume,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE,mmse_association,mmse,,exact_roi,mmse,continuous,,,composite,coefficient,20,True,[]
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_013_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,cross_dataset_transfer,ADNI_baseline,fs8_subcortical_volume,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE,age_association,age,,OASIS1_baseline,fs8_subcortical_volume,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE,age_association,age,,exact_roi,age,continuous,,,composite,coefficient,20,True,[]
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_014_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_AD_TO_CDR,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,weak_label_transfer,ADNI_baseline,fs8_subcortical_volume,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD,diagnosis_contrast,diagnosis_binary_ad_cn,,OASIS1_baseline,fs8_subcortical_volume,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_CDR_IMPAIRMENT,cdr_impairment_contrast,diagnosis_binary_impairment_cdr,,exact_roi,diagnosis_binary_impairment_cdr,binary,CDR_impairment,CDR_0,composite,coefficient,20,True,[]
E3_FS8_VS_SPM_THICKNESS_DRIFT_015_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_AD,E3_FS8_VS_SPM_THICKNESS_DRIFT,pipeline_drift,ADNI_SPM_MATCHED,fs8_thickness_schaefer200_7,ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_AD,diagnosis_contrast,diagnosis_binary_ad_cn,,ADNI_SPM_MATCHED,spm_thickness_schaefer200_7,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_AD,diagnosis_contrast,diagnosis_binary_ad_cn,,exact_roi,diagnosis_binary_ad_cn,binary,AD,CN,composite,coefficient,20,True,[]
E3_FS8_VS_SPM_THICKNESS_DRIFT_016_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI,E3_FS8_VS_SPM_THICKNESS_DRIFT,pipeline_drift,ADNI_SPM_MATCHED,fs8_thickness_schaefer200_7,ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_MCI,diagnosis_contrast,diagnosis_binary_mci_cn,,ADNI_SPM_MATCHED,spm_thickness_schaefer200_7,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI,diagnosis_contrast,diagnosis_binary_mci_cn,,exact_roi,diagnosis_binary_mci_cn,binary,MCI,CN,composite,coefficient,20,True,[]
E3_FS8_VS_SPM_THICKNESS_DRIFT_017_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_MMSE,E3_FS8_VS_SPM_THICKNESS_DRIFT,pipeline_drift,ADNI_SPM_MATCHED,fs8_thickness_schaefer200_7,ADNI_SPM_MATCHED_FS8_SCHAEFER7_MMSE,mmse_association,mmse,,ADNI_SPM_MATCHED,spm_thickness_schaefer200_7,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_MMSE,mmse_association,mmse,,exact_roi,mmse,continuous,,,composite,coefficient,20,True,[]
E3_FS8_VS_SPM_THICKNESS_DRIFT_018_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_AGE,E3_FS8_VS_SPM_THICKNESS_DRIFT,pipeline_drift,ADNI_SPM_MATCHED,fs8_thickness_schaefer200_7,ADNI_SPM_MATCHED_FS8_SCHAEFER7_AGE,age_association,age,,ADNI_SPM_MATCHED,spm_thickness_schaefer200_7,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_AGE,age_association,age,,exact_roi,age,continuous,,,composite,coefficient,20,True,[]
E3_FS8_VS_SPM_THICKNESS_DRIFT_019_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_AD,E3_FS8_VS_SPM_THICKNESS_DRIFT,pipeline_drift,ADNI_SPM_MATCHED,fs8_thickness_schaefer200_7,ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_AD,diagnosis_contrast,diagnosis_binary_ad_cn,,ADNI_SPM_MATCHED,spm_thickness_schaefer200_17,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_AD,diagnosis_contrast,diagnosis_binary_ad_cn,,network_7_like,diagnosis_binary_ad_cn,binary,AD,CN,composite,coefficient,20,True,[]
E3_FS8_VS_SPM_THICKNESS_DRIFT_020_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_MCI,E3_FS8_VS_SPM_THICKNESS_DRIFT,pipeline_drift,ADNI_SPM_MATCHED,fs8_thickness_schaefer200_7,ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_MCI,diagnosis_contrast,diagnosis_binary_mci_cn,,ADNI_SPM_MATCHED,spm_thickness_schaefer200_17,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_MCI,diagnosis_contrast,diagnosis_binary_mci_cn,,network_7_like,diagnosis_binary_mci_cn,binary,MCI,CN,composite,coefficient,20,True,[]
E3_FS8_VS_SPM_THICKNESS_DRIFT_021_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_MMSE,E3_FS8_VS_SPM_THICKNESS_DRIFT,pipeline_drift,ADNI_SPM_MATCHED,fs8_thickness_schaefer200_7,ADNI_SPM_MATCHED_FS8_SCHAEFER7_MMSE,mmse_association,mmse,,ADNI_SPM_MATCHED,spm_thickness_schaefer200_17,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_MMSE,mmse_association,mmse,,network_7_like,mmse,continuous,,,composite,coefficient,20,True,[]
E3_FS8_VS_SPM_THICKNESS_DRIFT_022_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_AGE,E3_FS8_VS_SPM_THICKNESS_DRIFT,pipeline_drift,ADNI_SPM_MATCHED,fs8_thickness_schaefer200_7,ADNI_SPM_MATCHED_FS8_SCHAEFER7_AGE,age_association,age,,ADNI_SPM_MATCHED,spm_thickness_schaefer200_17,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_AGE,age_association,age,,network_7_like,age,continuous,,,composite,coefficient,20,True,[]
E3_FS8_VS_SPM_THICKNESS_DRIFT_023_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_AD,E3_FS8_VS_SPM_THICKNESS_DRIFT,pipeline_drift,ADNI_SPM_MATCHED,spm_thickness_schaefer200_7,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_AD,diagnosis_contrast,diagnosis_binary_ad_cn,,ADNI_SPM_MATCHED,spm_thickness_schaefer200_17,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_AD,diagnosis_contrast,diagnosis_binary_ad_cn,,network_7_like,diagnosis_binary_ad_cn,binary,AD,CN,composite,coefficient,20,True,[]
