pair_id,experiment_id,n,n_positive,n_negative,auc_raw,auc_oriented,cohens_d,point_biserial_corr,spearman_corr,pearson_corr,slope_simple,error
E3_FS8_VS_SPM_THICKNESS_DRIFT_018_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_AGE,E3_FS8_VS_SPM_THICKNESS_DRIFT,2892.0,,,,,,,0.29422116910184826,0.26924231185127867,0.21621307730726194,
E3_FS8_VS_SPM_THICKNESS_DRIFT_019_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_AD,E3_FS8_VS_SPM_THICKNESS_DRIFT,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E3_FS8_VS_SPM_THICKNESS_DRIFT_020_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_MCI,E3_FS8_VS_SPM_THICKNESS_DRIFT,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E3_FS8_VS_SPM_THICKNESS_DRIFT_021_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_MMSE,E3_FS8_VS_SPM_THICKNESS_DRIFT,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E3_FS8_VS_SPM_THICKNESS_DRIFT_022_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_AGE,E3_FS8_VS_SPM_THICKNESS_DRIFT,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E3_FS8_VS_SPM_THICKNESS_DRIFT_023_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_AD,E3_FS8_VS_SPM_THICKNESS_DRIFT,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E3_FS8_VS_SPM_THICKNESS_DRIFT_024_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_MCI,E3_FS8_VS_SPM_THICKNESS_DRIFT,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E3_FS8_VS_SPM_THICKNESS_DRIFT_025_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_MMSE,E3_FS8_VS_SPM_THICKNESS_DRIFT,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E3_FS8_VS_SPM_THICKNESS_DRIFT_026_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_AGE,E3_FS8_VS_SPM_THICKNESS_DRIFT,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_027_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_DX_CN_AD,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,1132.0,375.0,757.0,0.43586085424922943,0.5641391457507705,-0.3407615082760703,-0.15849910446146398,,,,
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_028_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_DX_CN_MCI,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,1589.0,832.0,757.0,0.4327574052433696,0.5672425947566304,-0.30638021670779675,-0.15135186434372386,,,,
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_029_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_MMSE,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,2000.0,,,,,,,-0.1332040953584957,-0.08079330203675027,-0.03871155319878503,
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_030_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_AGE,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,2173.0,,,,,,,-0.16888006926803684,-0.18104058720331564,-0.17853024923478575,
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_031_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_DX_CN_AD,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,1132.0,375.0,757.0,0.45200528401585205,0.547994715984148,-0.11036193190142507,-0.051919952029240886,,,,
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_032_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_DX_CN_MCI,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,1589.0,832.0,757.0,0.44241883446804187,0.5575811655319581,-0.23582606475162632,-0.11704573058791261,,,,
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_033_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_MMSE,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,2000.0,,,,,,,-0.11282052679432672,-0.031529119210931045,-0.036609097143867814,
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT_034_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_AGE,E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,2173.0,,,,,,,-0.14056187813567522,-0.11418143106336243,-0.2958742209346655,
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_035_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_DX_CN_AD,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_036_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_DX_CN_MCI,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
E5_FS8_THICKNESS_ATLAS_SENSITIVITY_037_ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_BASELINE_FS8_THICKNESS_KONG200_17_MMSE,E5_FS8_THICKNESS_ATLAS_SENSITIVITY,,,,,,,,,,,claim-score transfer requires exact matched target feature columns
