claim_level,claim_type,dataset,feature_space,target,overall_label,stability_label,transfer_label,n_claims,mean_plausibility,mean_faithfulness,accept_rate,reject_rate,high_disagreement_rate
composite,diagnosis_contrast,ADNI_baseline,fastsurfer_subcortical_volume,diagnosis_binary_mci_cn,fragile,fragile,weak,1,,,0.0,0.0,0.0
composite,diagnosis_contrast,ADNI_baseline,fs8_cortical_volume,diagnosis_binary_ad_cn,stable_and_transferable,stable,strong,1,4.666666666666667,4.666666666666667,1.0,0.0,0.0
composite,diagnosis_contrast,ADNI_baseline,fs8_cortical_volume,diagnosis_binary_mci_cn,fragile,fragile,weak,1,4.666666666666667,4.666666666666667,1.0,0.0,0.0
composite,diagnosis_contrast,ADNI_baseline,fs8_subcortical_volume,diagnosis_binary_ad_cn,stable_and_transferable,stable,strong,1,3.0,2.6666666666666665,0.0,0.0,0.0
composite,diagnosis_contrast,ADNI_baseline,fs8_subcortical_volume,diagnosis_binary_mci_cn,stable_and_transferable,stable,moderate,1,,,0.0,0.0,0.0
composite,diagnosis_contrast,AIBL_baseline,fs8_cortical_volume,diagnosis_binary_ad_cn,stable_and_transferable,stable,strong,1,4.666666666666667,4.333333333333333,1.0,0.0,0.0
composite,diagnosis_contrast,AIBL_baseline,fs8_subcortical_volume,diagnosis_binary_mci_cn,stable_and_transferable,stable,moderate,1,3.3333333333333335,3.0,0.0,0.0,0.0
composite,mmse_association,ADNI_SPM_MATCHED,fs8_thickness_schaefer200_7,mmse,stable_and_transferable,stable,strong,1,4.666666666666667,4.333333333333333,1.0,0.0,0.0
composite,mmse_association,ADNI_baseline,fastsurfer_cortical_volume,mmse,fragile,fragile,weak,1,,,0.0,0.0,0.0
composite,mmse_association,ADNI_baseline,fastsurfer_subcortical_volume,mmse,fragile,fragile,weak,1,,,0.0,0.0,0.0
composite,mmse_association,ADNI_baseline,fs8_cortical_volume,mmse,stable_and_transferable,stable,strong,1,4.333333333333333,4.333333333333333,1.0,0.0,0.0
composite,mmse_association,ADNI_baseline,fs8_subcortical_volume,mmse,stable_and_transferable,stable,strong,1,3.0,2.3333333333333335,0.0,1.0,0.0
composite,mmse_association,AIBL_baseline,fs8_cortical_volume,mmse,stable_and_transferable,stable,moderate,1,4.333333333333333,4.0,1.0,0.0,0.0
composite,mmse_association,OASIS1_baseline,fs8_cortical_volume,mmse,stable_and_transferable,stable,strong,1,4.333333333333333,4.0,0.0,0.0,0.0
composite,mmse_association,OASIS1_baseline,fs8_thickness_kong200_17,mmse,stable_not_transferable,stable,insufficient,1,,,0.0,0.0,0.0
composite,mmse_association,OASIS1_baseline,fs8_thickness_schaefer200_7,mmse,stable_not_transferable,stable,insufficient,1,,,0.0,0.0,0.0
group_summary,group_enrichment,ADNI_SPM_MATCHED,fs8_thickness_schaefer200_7,mmse,stable_and_transferable,stable,strong,1,,,0.0,0.0,0.0
group_summary,group_enrichment,ADNI_SPM_MATCHED,spm_thickness_schaefer200_7,mmse,stable_and_transferable,stable,strong,1,3.3333333333333335,3.0,0.0,0.0,0.0
group_summary,group_enrichment,ADNI_baseline,fastsurfer_cortical_volume,diagnosis_binary_ad_cn,fragile,fragile,weak,1,,,0.0,0.0,0.0
group_summary,group_enrichment,ADNI_baseline,fastsurfer_subcortical_volume,age,fragile,fragile,weak,1,,,0.0,0.0,0.0
group_summary,group_enrichment,ADNI_baseline,fastsurfer_subcortical_volume,diagnosis_binary_ad_cn,fragile,fragile,weak,1,,,0.0,0.0,0.0
group_summary,group_enrichment,ADNI_baseline,fs8_cortical_volume,diagnosis_binary_mci_cn,fragile,fragile,weak,1,4.333333333333333,3.6666666666666665,0.0,0.0,0.0
group_summary,group_enrichment,ADNI_baseline,fs8_cortical_volume,mmse,stable_and_transferable,stable,strong,1,4.333333333333333,4.0,1.0,0.0,0.0
group_summary,group_enrichment,ADNI_baseline,fs8_subcortical_volume,age,stable_and_transferable,stable,strong,1,,,0.0,0.0,0.0
group_summary,group_enrichment,ADNI_baseline,fs8_subcortical_volume,diagnosis_binary_ad_cn,stable_and_transferable,stable,strong,1,,,0.0,0.0,0.0
group_summary,group_enrichment,ADNI_baseline,fs8_subcortical_volume,diagnosis_binary_mci_cn,stable_and_transferable,stable,moderate,1,4.666666666666667,4.666666666666667,1.0,0.0,0.0
group_summary,group_enrichment,ADNI_baseline,fs8_subcortical_volume,mmse,stable_and_transferable,stable,strong,1,4.666666666666667,4.333333333333333,1.0,0.0,0.0
group_summary,group_enrichment,AIBL_baseline,fs8_subcortical_volume,age,stable_and_transferable,stable,strong,1,4.666666666666667,3.6666666666666665,0.0,0.0,0.0
group_summary,group_enrichment,AIBL_baseline,fs8_subcortical_volume,diagnosis_binary_mci_cn,stable_and_transferable,stable,moderate,1,4.0,3.3333333333333335,0.0,0.0,0.0
group_summary,group_enrichment,AIBL_baseline,fs8_subcortical_volume,mmse,stable_and_transferable,stable,strong,1,3.6666666666666665,3.3333333333333335,0.0,0.0,0.0
group_summary,group_enrichment,AIBL_baseline,fs8_thickness_schaefer200_7,age,fragile,moderate,insufficient,1,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0
group_summary,group_enrichment,OASIS1_baseline,fs8_cortical_volume,mmse,stable_and_transferable,stable,strong,1,4.333333333333333,3.6666666666666665,0.0,0.0,0.0
latent_axis,latent_morphometry_axis,ADNI_baseline,fastsurfer_cortical_volume,,insufficient,insufficient,not_applicable,1,2.6666666666666665,2.6666666666666665,0.0,0.0,0.0
latent_axis,latent_morphometry_axis,OASIS1_baseline,fs8_subcortical_volume,,insufficient,insufficient,not_applicable,1,4.333333333333333,4.333333333333333,1.0,0.0,0.0
latent_axis_association,latent_axis_association,AIBL_baseline,fs8_thickness_yale696,field_strength,insufficient,insufficient,not_applicable,1,4.333333333333333,4.333333333333333,1.0,0.0,0.0
latent_axis_association,latent_axis_association,OASIS1_baseline,fs8_cortical_volume,diagnosis_binary_impairment_cdr,insufficient,insufficient,not_applicable,1,4.333333333333333,4.333333333333333,1.0,0.0,0.0
normative_atomic_roi,normative_deviation,ADNI_baseline,fastsurfer_subcortical_volume,diagnosis_3class,insufficient,insufficient,not_applicable,2,2.333333333333333,2.333333333333333,0.0,0.5,0.0
normative_deviation,normative_deviation,ADNI_baseline,fastsurfer_cortical_volume,diagnosis_3class,insufficient,insufficient,not_applicable,1,4.333333333333333,4.666666666666667,1.0,0.0,0.0
normative_deviation,normative_deviation,ADNI_baseline,fastsurfer_subcortical_volume,diagnosis_3class,insufficient,insufficient,not_applicable,1,2.3333333333333335,3.0,0.0,1.0,0.0
ranking,feature_ranking,ADNI_baseline,fastsurfer_cortical_volume,diagnosis_binary_mci_cn,fragile,fragile,weak,1,2.3333333333333335,3.0,0.0,1.0,0.0
ranking,feature_ranking,ADNI_baseline,fastsurfer_cortical_volume,mmse,fragile,fragile,weak,1,2.6666666666666665,3.3333333333333335,0.0,0.0,0.0
ranking,feature_ranking,AIBL_baseline,fs8_subcortical_volume,diagnosis_binary_ad_cn,stable_and_transferable,stable,strong,1,4.666666666666667,4.0,1.0,0.0,0.0
ranking,feature_ranking,AIBL_baseline,fs8_subcortical_volume,diagnosis_binary_mci_cn,stable_and_transferable,stable,moderate,1,4.666666666666667,3.6666666666666665,0.0,0.0,0.0
ranking,feature_ranking,AIBL_baseline,fs8_thickness_schaefer200_7,age,fragile,moderate,insufficient,1,4.0,4.0,1.0,0.0,0.0
ranking,feature_ranking,OASIS1_baseline,fs8_cortical_volume,diagnosis_binary_impairment_cdr,stable_and_transferable,stable,moderate,1,4.333333333333333,3.6666666666666665,0.0,0.0,0.0
