component,roi,loading,explained_variance_ratio
1,lh_lh_L_TP1_A,0.08147550439231613,0.9891824518463432
1,lh_lh_L_TP2_1_A,0.08149262877133434,0.9891824518463432
1,lh_lh_L_TP2_2_A,0.08144371989844552,0.9891824518463432
1,lh_lh_L_TP3_A,0.08156302260218083,0.9891824518463432
1,lh_lh_L_T1_A,0.08195899034753938,0.9891824518463432
1,lh_lh_L_T2_1_A,0.0819435392198241,0.9891824518463432
1,lh_lh_L_T2_2_A,0.08187541252975791,0.9891824518463432
1,lh_lh_L_T3_1_A,0.08186390572520927,0.9891824518463432
1,lh_lh_L_T3_2_A,0.0817862868505421,0.9891824518463432
1,lh_lh_L_O1_A,0.08191138992913442,0.9891824518463432
1,lh_lh_L_O2_1_A,0.0819023330389257,0.9891824518463432
1,lh_lh_L_O2_2_A,0.08196699498989982,0.9891824518463432
1,lh_lh_L_O3_A,0.08196701136825538,0.9891824518463432
1,lh_lh_L_O4_A,0.08142584952848145,0.9891824518463432
1,lh_lh_L_AN1_A,0.08170143150282902,0.9891824518463432
1,lh_lh_L_AN2_A,0.08188567837381464,0.9891824518463432
1,lh_lh_L_SM1_A,0.08196273485358514,0.9891824518463432
1,lh_lh_L_SM2_A,0.0801700214525535,0.9891824518463432
1,lh_lh_L_SM2_B,0.07972049675593718,0.9891824518463432
1,lh_lh_L_SM3_A,0.08186731862835384,0.9891824518463432
1,lh_lh_L_SM4_A,0.08181943016768466,0.9891824518463432
1,lh_lh_L_SM5_A,0.08187873036331646,0.9891824518463432
1,lh_lh_L_P1_A,0.08189423740975424,0.9891824518463432
1,lh_lh_L_P2_A,0.08176828315769573,0.9891824518463432
1,lh_lh_L_P3_A,0.08187442636809869,0.9891824518463432
1,lh_lh_L_P4_A,0.0819537650083447,0.9891824518463432
1,lh_lh_L_S_A,0.08195578602893605,0.9891824518463432
1,lh_lh_L_M1_A,0.08190355338774087,0.9891824518463432
1,lh_lh_L_M2_A,0.08185522336001816,0.9891824518463432
1,lh_lh_L_SF1_A,0.08183383657031847,0.9891824518463432
1,lh_lh_L_SF2_A,0.08187738003607989,0.9891824518463432
1,lh_lh_L_SF3_A,0.08192254258541688,0.9891824518463432
1,lh_lh_L_SF4_A,0.08188875643418672,0.9891824518463432
1,lh_lh_L_SF5_A,0.08187533812489085,0.9891824518463432
1,lh_lh_L_SF6_A,0.08184840251348986,0.9891824518463432
1,lh_lh_L_SF7_A,0.0818354175152516,0.9891824518463432
1,lh_lh_L_SF8_A,0.08173599474661154,0.9891824518463432
1,lh_lh_L_MF1_A,0.08180096052612373,0.9891824518463432
1,lh_lh_L_MF2_A,0.08188143394092585,0.9891824518463432
1,lh_lh_L_MF3_A,0.08190276961187395,0.9891824518463432
1,lh_lh_L_MF4_A,0.08190523121303428,0.9891824518463432
1,lh_lh_L_MF5_A,0.08186323917083593,0.9891824518463432
1,lh_lh_L_MF6_A,0.08182617066091408,0.9891824518463432
1,lh_lh_L_MF7_A,0.08174633457545911,0.9891824518463432
1,lh_lh_L_MF8_A,0.08158107880549227,0.9891824518463432
1,lh_lh_L_OP_A,0.08194728078351543,0.9891824518463432
1,lh_lh_L_TR1_A,0.08186951482443566,0.9891824518463432
1,lh_lh_L_TR2_A,0.08187364332499836,0.9891824518463432
1,lh_lh_L_TR3_A,0.08185833325504531,0.9891824518463432
1,lh_lh_L_OR_A,0.0818741402642145,0.9891824518463432
1,lh_lh_L_FP1_A,0.08181605517299707,0.9891824518463432
1,lh_lh_L_FP1_B,0.08033016298356867,0.9891824518463432
1,lh_lh_L_FP2_A,0.08182525343776573,0.9891824518463432
1,lh_lh_L_FP3_A,0.0819385447983695,0.9891824518463432
1,lh_lh_L_FP4_A,0.08192144535974549,0.9891824518463432
1,lh_lh_L_FO1_A,0.08160139120866629,0.9891824518463432
1,lh_lh_L_FO2_A,0.08171196494249504,0.9891824518463432
1,lh_lh_L_FO3_A,0.08175029153512707,0.9891824518463432
1,lh_lh_L_FO4_A,0.08196205416304686,0.9891824518463432
1,lh_lh_L_FO6_A,0.08168793331814657,0.9891824518463432
1,lh_lh_L_LOT_A,0.08182330257321489,0.9891824518463432
1,lh_lh_L_MOT_A,0.08189830898256889,0.9891824518463432
1,lh_lh_L_PH_A,0.08178204860161976,0.9891824518463432
1,lh_lh_L_L_A,0.08182271152941792,0.9891824518463432
1,lh_lh_L_CG_A,0.08199101682049545,0.9891824518463432
1,lh_lh_L_H_A,0.0816591641470791,0.9891824518463432
1,lh_lh_L_A_A,0.08112564178266993,0.9891824518463432
1,lh_lh_L_I1_A,0.08175426816473291,0.9891824518463432
1,lh_lh_L_I2_A,0.0817826450572592,0.9891824518463432
1,lh_lh_L_I3_A,0.0818112725980481,0.9891824518463432
1,lh_lh_L_I4_A,0.08174234404883035,0.9891824518463432
1,lh_lh_L_I5_A,0.08153070437923293,0.9891824518463432
1,lh_lh_L_CC_A,0.07471035247174598,0.9891824518463432
1,lh_lh_L_CC_B,0.08151008735776533,0.9891824518463432
1,lh_lh_L_CC_C,0.07899076115243331,0.9891824518463432
1,rh_rh_R_TP1_A,0.08158886495799064,0.9891824518463432
1,rh_rh_R_TP2_1_A,0.08156057913582625,0.9891824518463432
1,rh_rh_R_TP2_2_A,0.08147520826587384,0.9891824518463432
1,rh_rh_R_TP3_A,0.08166165310632725,0.9891824518463432
1,rh_rh_R_T1_A,0.08199272637887448,0.9891824518463432
1,rh_rh_R_T2_1_A,0.08194481810293544,0.9891824518463432
1,rh_rh_R_T2_2_A,0.08192151412848891,0.9891824518463432
1,rh_rh_R_T3_1_A,0.08182927812318792,0.9891824518463432
1,rh_rh_R_T3_2_A,0.08180540339505442,0.9891824518463432
1,rh_rh_R_O1_A,0.08191709051157514,0.9891824518463432
1,rh_rh_R_O2_1_A,0.08189907481879512,0.9891824518463432
1,rh_rh_R_O2_2_A,0.0819590841387911,0.9891824518463432
1,rh_rh_R_O3_A,0.08194208882388199,0.9891824518463432
1,rh_rh_R_O4_A,0.08138575691049617,0.9891824518463432
1,rh_rh_R_AN1_A,0.08177302521078952,0.9891824518463432
1,rh_rh_R_AN2_A,0.08191598497843537,0.9891824518463432
1,rh_rh_R_SM1_B,0.08195562568630949,0.9891824518463432
1,rh_rh_R_SM2_A,0.08115975124227524,0.9891824518463432
1,rh_rh_R_SM2_B,0.08140569460853748,0.9891824518463432
1,rh_rh_R_SM3_A,0.08179975527053074,0.9891824518463432
1,rh_rh_R_SM4_A,0.08178345776114183,0.9891824518463432
1,rh_rh_R_SM5_A,0.08184904095847433,0.9891824518463432
1,rh_rh_R_P1_A,0.0818820726765572,0.9891824518463432
1,rh_rh_R_P2_A,0.08176749280252783,0.9891824518463432
1,rh_rh_R_P3_A,0.08186466972052528,0.9891824518463432
1,rh_rh_R_P4_A,0.08195379844533693,0.9891824518463432
1,rh_rh_R_S_A,0.08196691298672178,0.9891824518463432
1,rh_rh_R_M1_A,0.08189734353346617,0.9891824518463432
1,rh_rh_R_M2_A,0.08186329887378956,0.9891824518463432
1,rh_rh_R_SF1_A,0.08180521832296724,0.9891824518463432
1,rh_rh_R_SF2_A,0.08186345163986944,0.9891824518463432
1,rh_rh_R_SF3_A,0.0819033114837023,0.9891824518463432
1,rh_rh_R_SF4_A,0.08189849620540494,0.9891824518463432
1,rh_rh_R_SF5_A,0.0818665919611083,0.9891824518463432
1,rh_rh_R_SF6_A,0.08182612962823456,0.9891824518463432
1,rh_rh_R_SF7_A,0.08185970995892028,0.9891824518463432
1,rh_rh_R_SF8_A,0.08172914466424712,0.9891824518463432
1,rh_rh_R_MF1_A,0.08181620899582881,0.9891824518463432
1,rh_rh_R_MF2_A,0.08189692424982876,0.9891824518463432
1,rh_rh_R_MF3_A,0.08191632850543071,0.9891824518463432
1,rh_rh_R_MF4_A,0.08192509063989213,0.9891824518463432
1,rh_rh_R_MF5_A,0.08188368294458302,0.9891824518463432
1,rh_rh_R_MF6_A,0.08184788977425887,0.9891824518463432
1,rh_rh_R_MF7_A,0.08177847292000241,0.9891824518463432
1,rh_rh_R_MF8_A,0.08163799780250622,0.9891824518463432
1,rh_rh_R_OP_A,0.08195312377864888,0.9891824518463432
1,rh_rh_R_TR1_A,0.08185350869487382,0.9891824518463432
1,rh_rh_R_TR2_A,0.08185046184368606,0.9891824518463432
1,rh_rh_R_TR3_A,0.08184420736781704,0.9891824518463432
1,rh_rh_R_OR_A,0.08184364125777249,0.9891824518463432
1,rh_rh_R_FP1_A,0.08178028645132415,0.9891824518463432
1,rh_rh_R_FP1_B,0.08029548095770009,0.9891824518463432
1,rh_rh_R_FP2_A,0.08182419696268922,0.9891824518463432
1,rh_rh_R_FP3_A,0.08192753710372395,0.9891824518463432
1,rh_rh_R_FP4_A,0.08192638385352753,0.9891824518463432
1,rh_rh_R_FO1_A,0.08169651080588207,0.9891824518463432
1,rh_rh_R_FO2_A,0.08169834009671735,0.9891824518463432
1,rh_rh_R_FO3_A,0.08174150361655572,0.9891824518463432
1,rh_rh_R_FO4_A,0.08194190034432546,0.9891824518463432
1,rh_rh_R_FO6_A,0.08168155208427803,0.9891824518463432
