roi,coef,t,mean_z,n,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like,target_group
non-WM-hypointensities,0.06328203406076975,0.06328203406076975,0.06328203406076975,184,,hypointensity,hypointensity,,,fs8_subcortical_volume,,MCI
Left-non-WM-hypointensities,0.06328203406076975,0.06328203406076975,0.06328203406076975,184,LH,hypointensity,hypointensity,,,fs8_subcortical_volume,,MCI
Right-non-WM-hypointensities,0.06328203406076975,0.06328203406076975,0.06328203406076975,184,RH,hypointensity,hypointensity,,,fs8_subcortical_volume,,MCI
Optic-Chiasm,0.06328203406076975,0.06328203406076975,0.06328203406076975,184,,optic_chiasm,optic_chiasm,,,fs8_subcortical_volume,,MCI
CC_Posterior,-0.08212032434396964,-0.08212032434396964,-0.08212032434396964,184,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,,MCI
CC_Mid_Posterior,-0.3040742846982642,-0.3040742846982642,-0.3040742846982642,184,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,,MCI
CC_Central,-0.3348750824670967,-0.3348750824670967,-0.3348750824670967,184,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,,MCI
CC_Mid_Anterior,-0.06509270335754407,-0.06509270335754407,-0.06509270335754407,184,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,,MCI
CC_Anterior,-0.0963912352006985,-0.0963912352006985,-0.0963912352006985,184,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,,MCI
BrainSegVol,0.12453929793816841,0.12453929793816841,0.12453929793816841,184,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
lhCortexVol,-0.13078594688369408,-0.13078594688369408,-0.13078594688369408,184,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
rhCortexVol,-0.15505298636046894,-0.15505298636046894,-0.15505298636046894,184,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
CortexVol,-0.14323106477759853,-0.14323106477759853,-0.14323106477759853,184,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
lhCerebralWhiteMatterVol,0.014419329635371767,0.014419329635371767,0.014419329635371767,184,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
rhCerebralWhiteMatterVol,0.014064983400731472,0.014064983400731472,0.014064983400731472,184,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
CerebralWhiteMatterVol,0.014270249398013633,0.014270249398013633,0.014270249398013633,184,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
SubCortGrayVol,-0.10913416656279168,-0.10913416656279168,-0.10913416656279168,184,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
TotalGrayVol,-0.1271366972512874,-0.1271366972512874,-0.1271366972512874,184,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
SupraTentorialVol,0.13582130237424306,0.13582130237424306,0.13582130237424306,184,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
SupraTentorialVolNotVent,-0.06905749787666188,-0.06905749787666188,-0.06905749787666188,184,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
MaskVol,0.13591186614362952,0.13591186614362952,0.13591186614362952,184,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
BrainSegVol-to-eTIV,0.02456495227853813,0.02456495227853813,0.02456495227853813,184,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
MaskVol-to-eTIV,0.030585115549568914,0.030585115549568914,0.030585115549568914,184,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
lhSurfaceHoles,0.07427116114843807,0.07427116114843807,0.07427116114843807,184,,surface_qc,surface_qc,,,fs8_subcortical_volume,,MCI
rhSurfaceHoles,0.1568535278277306,0.1568535278277306,0.1568535278277306,184,,surface_qc,surface_qc,,,fs8_subcortical_volume,,MCI
SurfaceHoles,0.12454367319681782,0.12454367319681782,0.12454367319681782,184,,surface_qc,surface_qc,,,fs8_subcortical_volume,,MCI
EstimatedTotalIntraCranialVol,0.18090141989215386,0.18090141989215386,0.18090141989215386,184,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
SegmentedTotalIntracranialVol,0.13795268777036265,0.13795268777036265,0.13795268777036265,184,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
Left-Lateral-Ventricle,1.1596557162237444,1.1596557162237444,1.1596557162237444,157,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,AD
Left-Inf-Lat-Vent,2.6096562912542107,2.6096562912542107,2.6096562912542107,157,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,AD
Left-Cerebellum-White-Matter,-0.19252317005151443,-0.19252317005151443,-0.19252317005151443,157,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,,AD
Left-Cerebellum-Cortex,-0.2936283712728472,-0.2936283712728472,-0.2936283712728472,157,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,,AD
Left-Thalamus,-0.30473177144807884,-0.30473177144807884,-0.30473177144807884,157,LH,thalamus,thalamus,,,fs8_subcortical_volume,,AD
Left-Caudate,0.20741025210323377,0.20741025210323377,0.20741025210323377,157,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,AD
Left-Putamen,-0.332114996944253,-0.332114996944253,-0.332114996944253,157,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,AD
Left-Pallidum,-0.02079575169474667,-0.02079575169474667,-0.02079575169474667,157,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,AD
3rd-Ventricle,0.8336294647323329,0.8336294647323329,0.8336294647323329,157,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,AD
4th-Ventricle,0.09028424244597993,0.09028424244597993,0.09028424244597993,157,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,AD
Brain-Stem,-0.20367064879730665,-0.20367064879730665,-0.20367064879730665,157,,brainstem,brainstem,,,fs8_subcortical_volume,,AD
Left-Hippocampus,-1.7338201540424798,-1.7338201540424798,-1.7338201540424798,157,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,,AD
Left-Amygdala,-1.5747253177204734,-1.5747253177204734,-1.5747253177204734,157,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,,AD
CSF,0.703428005825566,0.703428005825566,0.703428005825566,157,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,AD
Left-Accumbens-area,-0.8380775249482393,-0.8380775249482393,-0.8380775249482393,157,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,AD
Left-VentralDC,-0.22798328256428904,-0.22798328256428904,-0.22798328256428904,157,LH,ventral_diencephalon,ventral_diencephalon,,,fs8_subcortical_volume,,AD
Left-vessel,0.06459327021260451,0.06459327021260451,0.06459327021260451,157,LH,vessel,vessel,,,fs8_subcortical_volume,,AD
Left-choroid-plexus,0.06459327021260451,0.06459327021260451,0.06459327021260451,157,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,AD
Right-Lateral-Ventricle,1.1846742323596124,1.1846742323596124,1.1846742323596124,157,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,AD
Right-Inf-Lat-Vent,2.649892982575552,2.649892982575552,2.649892982575552,157,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,AD
Right-Cerebellum-White-Matter,-0.14377322206444124,-0.14377322206444124,-0.14377322206444124,157,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,,AD
Right-Cerebellum-Cortex,-0.25588670987170903,-0.25588670987170903,-0.25588670987170903,157,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,,AD
Right-Thalamus,-0.29975444544841834,-0.29975444544841834,-0.29975444544841834,157,RH,thalamus,thalamus,,,fs8_subcortical_volume,,AD
Right-Caudate,0.1535061273594429,0.1535061273594429,0.1535061273594429,157,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,AD
Right-Putamen,-0.34733947096128875,-0.34733947096128875,-0.34733947096128875,157,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,AD
Right-Pallidum,-0.05851129553311048,-0.05851129553311048,-0.05851129553311048,157,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,AD
Right-Hippocampus,-1.741717039769091,-1.741717039769091,-1.741717039769091,157,RH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,,AD
Right-Amygdala,-1.620041754304492,-1.620041754304492,-1.620041754304492,157,RH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,,AD
Right-Accumbens-area,-0.8885629254523747,-0.8885629254523747,-0.8885629254523747,157,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,AD
Right-VentralDC,-0.23296529238459202,-0.23296529238459202,-0.23296529238459202,157,RH,ventral_diencephalon,ventral_diencephalon,,,fs8_subcortical_volume,,AD
Right-vessel,0.06459327021260451,0.06459327021260451,0.06459327021260451,157,RH,vessel,vessel,,,fs8_subcortical_volume,,AD
Right-choroid-plexus,0.06459327021260451,0.06459327021260451,0.06459327021260451,157,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,AD
5th-Ventricle,0.06459327021260451,0.06459327021260451,0.06459327021260451,157,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,AD
WM-hypointensities,0.25330906204635134,0.25330906204635134,0.25330906204635134,157,,hypointensity,hypointensity,,,fs8_subcortical_volume,,AD
Left-WM-hypointensities,0.06459327021260451,0.06459327021260451,0.06459327021260451,157,LH,hypointensity,hypointensity,,,fs8_subcortical_volume,,AD
Right-WM-hypointensities,0.06459327021260451,0.06459327021260451,0.06459327021260451,157,RH,hypointensity,hypointensity,,,fs8_subcortical_volume,,AD
non-WM-hypointensities,0.06459327021260451,0.06459327021260451,0.06459327021260451,157,,hypointensity,hypointensity,,,fs8_subcortical_volume,,AD
Left-non-WM-hypointensities,0.06459327021260451,0.06459327021260451,0.06459327021260451,157,LH,hypointensity,hypointensity,,,fs8_subcortical_volume,,AD
Right-non-WM-hypointensities,0.06459327021260451,0.06459327021260451,0.06459327021260451,157,RH,hypointensity,hypointensity,,,fs8_subcortical_volume,,AD
Optic-Chiasm,0.06459327021260451,0.06459327021260451,0.06459327021260451,157,,optic_chiasm,optic_chiasm,,,fs8_subcortical_volume,,AD
CC_Posterior,-0.46277690093355994,-0.46277690093355994,-0.46277690093355994,157,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,,AD
CC_Mid_Posterior,-0.6354683091291002,-0.6354683091291002,-0.6354683091291002,157,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,,AD
CC_Central,-0.7705541385156379,-0.7705541385156379,-0.7705541385156379,157,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,,AD
CC_Mid_Anterior,-0.565057772183268,-0.565057772183268,-0.565057772183268,157,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,,AD
CC_Anterior,-0.45420449856238115,-0.45420449856238115,-0.45420449856238115,157,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,,AD
BrainSegVol,-0.02952455407695905,-0.02952455407695905,-0.02952455407695905,157,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
lhCortexVol,-0.8029285050076405,-0.8029285050076405,-0.8029285050076405,157,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
rhCortexVol,-0.7539918404223237,-0.7539918404223237,-0.7539918404223237,157,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
CortexVol,-0.7800857890303221,-0.7800857890303221,-0.7800857890303221,157,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
lhCerebralWhiteMatterVol,-0.27563393046606144,-0.27563393046606144,-0.27563393046606144,157,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
rhCerebralWhiteMatterVol,-0.24829862907015704,-0.24829862907015704,-0.24829862907015704,157,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
CerebralWhiteMatterVol,-0.2625060685006983,-0.2625060685006983,-0.2625060685006983,157,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
SubCortGrayVol,-0.6260501300205588,-0.6260501300205588,-0.6260501300205588,157,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
TotalGrayVol,-0.7157195663436049,-0.7157195663436049,-0.7157195663436049,157,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
SupraTentorialVol,-0.004645763443336109,-0.004645763443336109,-0.004645763443336109,157,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
SupraTentorialVolNotVent,-0.5403182162394923,-0.5403182162394923,-0.5403182162394923,157,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
MaskVol,0.036137532906459935,0.036137532906459935,0.036137532906459935,157,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
BrainSegVol-to-eTIV,-0.01284284627156341,-0.01284284627156341,-0.01284284627156341,157,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
MaskVol-to-eTIV,0.027628465978150767,0.027628465978150767,0.027628465978150767,157,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
lhSurfaceHoles,0.38348523377617383,0.38348523377617383,0.38348523377617383,157,,surface_qc,surface_qc,,,fs8_subcortical_volume,,AD
rhSurfaceHoles,0.2878076756895153,0.2878076756895153,0.2878076756895153,157,,surface_qc,surface_qc,,,fs8_subcortical_volume,,AD
SurfaceHoles,0.36627365472563095,0.36627365472563095,0.36627365472563095,157,,surface_qc,surface_qc,,,fs8_subcortical_volume,,AD
EstimatedTotalIntraCranialVol,0.08715802464115208,0.08715802464115208,0.08715802464115208,157,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
SegmentedTotalIntracranialVol,0.008459053631134987,0.008459053631134987,0.008459053631134987,157,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,AD
