roi,coef,t,mean_z,n,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like,target_group
LH_Cont_PFCl_2,0.18033730838753598,0.18033730838753598,0.18033730838753598,375,LH,Cont,prefrontal,Cont,frontal,fs8_thickness_schaefer200_7,Cont,AD
RH_Cont_Par_3,0.16645944971508544,0.16645944971508544,0.16645944971508544,375,RH,Cont,unknown_subregion,Cont,unknown,fs8_thickness_schaefer200_7,Cont,AD
LH_Cont_PFCl_3,0.19132902523256792,0.19132902523256792,0.19132902523256792,375,LH,Cont,prefrontal,Cont,frontal,fs8_thickness_schaefer200_7,Cont,AD
RH_Cont_Temp_1,0.13510959444972295,0.13510959444972295,0.13510959444972295,375,RH,Cont,temporal,Cont,temporal,fs8_thickness_schaefer200_7,Cont,AD
LH_Cont_PFCl_4,0.18221845029888967,0.18221845029888967,0.18221845029888967,375,LH,Cont,prefrontal,Cont,frontal,fs8_thickness_schaefer200_7,Cont,AD
RH_Cont_PFCv_1,0.21843877384183955,0.21843877384183955,0.21843877384183955,375,RH,Cont,prefrontal,Cont,frontal,fs8_thickness_schaefer200_7,Cont,AD
LH_Cont_PFCl_5,0.17062772786207325,0.17062772786207325,0.17062772786207325,375,LH,Cont,prefrontal,Cont,frontal,fs8_thickness_schaefer200_7,Cont,AD
RH_Cont_PFCl_1,0.20206114662106528,0.20206114662106528,0.20206114662106528,375,RH,Cont,prefrontal,Cont,frontal,fs8_thickness_schaefer200_7,Cont,AD
LH_Cont_pCun_1,0.17013008213299466,0.17013008213299466,0.17013008213299466,375,LH,Cont,precuneus,Cont,parietal,fs8_thickness_schaefer200_7,Cont,AD
RH_Cont_PFCl_2,0.19363497258107273,0.19363497258107273,0.19363497258107273,375,RH,Cont,prefrontal,Cont,frontal,fs8_thickness_schaefer200_7,Cont,AD
LH_Cont_Cing_1,0.19343601511524888,0.19343601511524888,0.19343601511524888,375,LH,Cont,unknown_subregion,Cont,unknown,fs8_thickness_schaefer200_7,Cont,AD
