component,roi,loading,explained_variance_ratio
1,lh_lh_L_TP1_A,0.07732597394086052,0.7505594389507239
1,lh_lh_L_TP2_1_A,0.0782171654037204,0.7505594389507239
1,lh_lh_L_TP2_2_A,0.07561908394764653,0.7505594389507239
1,lh_lh_L_TP3_A,0.08033146688023546,0.7505594389507239
1,lh_lh_L_T1_A,0.08966312490849418,0.7505594389507239
1,lh_lh_L_T2_1_A,0.08914066620793525,0.7505594389507239
1,lh_lh_L_T2_2_A,0.08651892303031583,0.7505594389507239
1,lh_lh_L_T3_1_A,0.08539360884126518,0.7505594389507239
1,lh_lh_L_T3_2_A,0.08272039474076402,0.7505594389507239
1,lh_lh_L_O1_A,0.08701429452042025,0.7505594389507239
1,lh_lh_L_O2_1_A,0.08646053885138602,0.7505594389507239
1,lh_lh_L_O2_2_A,0.08846273616351924,0.7505594389507239
1,lh_lh_L_O3_A,0.08822329662688219,0.7505594389507239
1,lh_lh_L_O4_A,0.07249719448403875,0.7505594389507239
1,lh_lh_L_AN1_A,0.08222463219679843,0.7505594389507239
1,lh_lh_L_AN2_A,0.08684466486713016,0.7505594389507239
1,lh_lh_L_SM1_A,0.08886641460108857,0.7505594389507239
1,lh_lh_L_SM2_A,0.05310447672585612,0.7505594389507239
1,lh_lh_L_SM2_B,0.04774034803550972,0.7505594389507239
1,lh_lh_L_SM3_A,0.08725417884993476,0.7505594389507239
1,lh_lh_L_SM4_A,0.08477282727379225,0.7505594389507239
1,lh_lh_L_SM5_A,0.08669058681908813,0.7505594389507239
1,lh_lh_L_P1_A,0.08618517425974825,0.7505594389507239
1,lh_lh_L_P2_A,0.08229241476434132,0.7505594389507239
1,lh_lh_L_P3_A,0.08615938021740714,0.7505594389507239
1,lh_lh_L_P4_A,0.08839868402659525,0.7505594389507239
1,lh_lh_L_S_A,0.08880397302724158,0.7505594389507239
1,lh_lh_L_M1_A,0.0873662953444255,0.7505594389507239
1,lh_lh_L_M2_A,0.08582791506878308,0.7505594389507239
1,lh_lh_L_SF1_A,0.08324712222185884,0.7505594389507239
1,lh_lh_L_SF2_A,0.08606866962725913,0.7505594389507239
1,lh_lh_L_SF3_A,0.08727433521115671,0.7505594389507239
1,lh_lh_L_SF4_A,0.08696356586666659,0.7505594389507239
1,lh_lh_L_SF5_A,0.08710220193906386,0.7505594389507239
1,lh_lh_L_SF6_A,0.08561390593265955,0.7505594389507239
1,lh_lh_L_SF7_A,0.08594737014803755,0.7505594389507239
1,lh_lh_L_SF8_A,0.0825433726950307,0.7505594389507239
