roi,coef,t,mean_z,n,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like,target_group
Right-WM-hypointensities,-0.003741728793603167,-0.003741728793603167,-0.003741728793603167,602,RH,hypointensity,hypointensity,,,fs8_subcortical_volume,,MCI
non-WM-hypointensities,-0.003741728793603167,-0.003741728793603167,-0.003741728793603167,602,,hypointensity,hypointensity,,,fs8_subcortical_volume,,MCI
Left-non-WM-hypointensities,-0.003741728793603167,-0.003741728793603167,-0.003741728793603167,602,LH,hypointensity,hypointensity,,,fs8_subcortical_volume,,MCI
Right-non-WM-hypointensities,-0.003741728793603167,-0.003741728793603167,-0.003741728793603167,602,RH,hypointensity,hypointensity,,,fs8_subcortical_volume,,MCI
Optic-Chiasm,-0.003741728793603167,-0.003741728793603167,-0.003741728793603167,602,,optic_chiasm,optic_chiasm,,,fs8_subcortical_volume,,MCI
CC_Posterior,-0.18653148225936808,-0.18653148225936808,-0.18653148225936808,602,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,,MCI
CC_Mid_Posterior,-0.25502012017201126,-0.25502012017201126,-0.25502012017201126,602,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,,MCI
CC_Central,-0.35469076087311285,-0.35469076087311285,-0.35469076087311285,602,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,,MCI
CC_Mid_Anterior,-0.19807237670900352,-0.19807237670900352,-0.19807237670900352,602,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,,MCI
CC_Anterior,-0.2088678361057648,-0.2088678361057648,-0.2088678361057648,602,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,,MCI
BrainSegVol,-0.03397047084031968,-0.03397047084031968,-0.03397047084031968,602,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
lhCortexVol,-0.18542583907109447,-0.18542583907109447,-0.18542583907109447,602,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
rhCortexVol,-0.17930826668121885,-0.17930826668121885,-0.17930826668121885,602,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
CortexVol,-0.1825300810839446,-0.1825300810839446,-0.1825300810839446,602,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
lhCerebralWhiteMatterVol,-0.048640216712836366,-0.048640216712836366,-0.048640216712836366,602,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
rhCerebralWhiteMatterVol,-0.04896856171265907,-0.04896856171265907,-0.04896856171265907,602,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
CerebralWhiteMatterVol,-0.048845730355220836,-0.048845730355220836,-0.048845730355220836,602,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
SubCortGrayVol,-0.17874418225055402,-0.17874418225055402,-0.17874418225055402,602,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
TotalGrayVol,-0.16546883590054845,-0.16546883590054845,-0.16546883590054845,602,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
SupraTentorialVol,-0.028935439088163473,-0.028935439088163473,-0.028935439088163473,602,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
SupraTentorialVolNotVent,-0.12340215773003532,-0.12340215773003532,-0.12340215773003532,602,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
MaskVol,-0.051453918628111404,-0.051453918628111404,-0.051453918628111404,602,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,,MCI
