claim_id,claim_family_id,claim_level,claim_type,dataset,cohort,feature_space,feature_family,pipeline,atlas,target,covariates,n_samples,n_features,roi,hemisphere,roi_group,anatomical_group,network,network_7_like,lobe,direction,evidence_metric,evidence_value,coefficient,t_value,p_value,q_value,claim_text,short_claim_text,criteria_passed,status
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_rh_rh_R_FO2_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,rh_rh_R_FO2_A,RH,fronto_orbital,fronto_orbital,,,frontal,higher,t,3.8076683509484077,0.23964587626623235,3.8076683509484077,0.00014784916510398935,0.0010900334042002787,"AD is associated with higher rh_rh_R_FO2_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher rh_rh_R_FO2_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_lh_lh_L_CC_C,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,lh_lh_L_CC_C,LH,corpus_callosum_or_cingulate_adjacent,corpus_callosum_or_cingulate_adjacent,,,cingulate,higher,t,3.7992684343205196,0.23786911254629947,3.7992684343205196,0.00015288462007397456,0.0010900334042002787,"AD is associated with higher lh_lh_L_CC_C Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher lh_lh_L_CC_C Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_lh_lh_L_S_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,lh_lh_L_S_A,LH,superior_region,superior_region,,,other_yale,higher,t,3.7877488652802387,0.23895497862898746,3.7877488652802387,0.00016005350074053173,0.0010900334042002787,"AD is associated with higher lh_lh_L_S_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher lh_lh_L_S_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_rh_rh_R_O3_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,rh_rh_R_O3_A,RH,occipital,occipital,,,occipital,higher,t,3.7740746877340436,0.23761696617533318,3.7740746877340436,0.00016897433242427955,0.0010900334042002787,"AD is associated with higher rh_rh_R_O3_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher rh_rh_R_O3_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_rh_rh_R_TR1_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,rh_rh_R_TR1_A,RH,triangular,triangular,,,frontal,higher,t,3.7699703356764767,0.23787261377425534,3.7699703356764767,0.00017174202853696807,0.0010900334042002787,"AD is associated with higher rh_rh_R_TR1_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher rh_rh_R_TR1_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_rh_rh_R_FO3_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,rh_rh_R_FO3_A,RH,fronto_orbital,fronto_orbital,,,frontal,higher,t,3.757292867171876,0.23661703907586484,3.757292867171876,0.000180562897328033,0.0010900334042002787,"AD is associated with higher rh_rh_R_FO3_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher rh_rh_R_FO3_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_lh_lh_L_O1_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,lh_lh_L_O1_A,LH,occipital,occipital,,,occipital,higher,t,3.736218323827788,0.23539803668759232,3.736218323827788,0.00019617668163074948,0.0010900334042002787,"AD is associated with higher lh_lh_L_O1_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher lh_lh_L_O1_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_rh_rh_R_H_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,rh_rh_R_H_A,RH,hippocampal_adjacent,hippocampal_adjacent,,,temporal,higher,t,3.735656183904386,0.23467956083109537,3.735656183904386,0.00019661006249052884,0.0010900334042002787,"AD is associated with higher rh_rh_R_H_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher rh_rh_R_H_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_rh_rh_R_S_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,rh_rh_R_S_A,RH,superior_region,superior_region,,,other_yale,higher,t,3.7302821202535297,0.23534463177159812,3.7302821202535297,0.00020079890273857465,0.0010900334042002787,"AD is associated with higher rh_rh_R_S_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher rh_rh_R_S_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_rh_rh_R_I1_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,rh_rh_R_I1_A,RH,insula,insula,,,insula,higher,t,3.7301863388508654,0.23475514577142514,3.7301863388508654,0.00020087431597370724,0.0010900334042002787,"AD is associated with higher rh_rh_R_I1_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher rh_rh_R_I1_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_lh_lh_L_SF8_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,lh_lh_L_SF8_A,LH,superior_frontal,superior_frontal,,,frontal,higher,t,3.7264873705238344,0.23558059526205716,3.7264873705238344,0.0002038071556442042,0.0010900334042002787,"AD is associated with higher lh_lh_L_SF8_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher lh_lh_L_SF8_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_lh_lh_L_I1_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,lh_lh_L_I1_A,LH,insula,insula,,,insula,higher,t,3.723018685659551,0.23417748928442222,3.723018685659551,0.00020659396158157663,0.0010900334042002787,"AD is associated with higher lh_lh_L_I1_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher lh_lh_L_I1_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_rh_rh_R_O4_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,rh_rh_R_O4_A,RH,occipital,occipital,,,occipital,higher,t,3.7172618615815596,0.2340070653566595,3.7172618615815596,0.0002112983446290621,0.0010900334042002787,"AD is associated with higher rh_rh_R_O4_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher rh_rh_R_O4_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_lh_lh_L_TR1_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,lh_lh_L_TR1_A,LH,triangular,triangular,,,frontal,higher,t,3.7161863243616877,0.23456889138343945,3.7161863243616877,0.0002121883499021996,0.0010900334042002787,"AD is associated with higher lh_lh_L_TR1_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher lh_lh_L_TR1_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_rh_rh_R_SF8_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,rh_rh_R_SF8_A,RH,superior_frontal,superior_frontal,,,frontal,higher,t,3.7111454107418185,0.2342761438889942,3.7111454107418185,0.00021640687728045665,0.0010900334042002787,"AD is associated with higher rh_rh_R_SF8_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher rh_rh_R_SF8_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_rh_rh_R_SF7_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,rh_rh_R_SF7_A,RH,superior_frontal,superior_frontal,,,frontal,higher,t,3.696389487680677,0.2333909781922534,3.696389487680677,0.00022921324627069506,0.0010900334042002787,"AD is associated with higher rh_rh_R_SF7_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher rh_rh_R_SF7_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_lh_lh_L_H_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,lh_lh_L_H_A,LH,hippocampal_adjacent,hippocampal_adjacent,,,temporal,higher,t,3.689109469872914,0.23197358735825696,3.689109469872914,0.00023579064806324181,0.0010900334042002787,"AD is associated with higher lh_lh_L_H_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher lh_lh_L_H_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_lh_lh_L_FO1_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,lh_lh_L_FO1_A,LH,fronto_orbital,fronto_orbital,,,frontal,higher,t,3.6826876236510406,0.23202059224189592,3.6826876236510406,0.0002417395199815262,0.0010900334042002787,"AD is associated with higher lh_lh_L_FO1_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher lh_lh_L_FO1_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_lh_lh_L_O4_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,lh_lh_L_O4_A,LH,occipital,occipital,,,occipital,higher,t,3.6763208846782716,0.23156317330069492,3.6763208846782716,0.0002477763050844221,0.0010900334042002787,"AD is associated with higher lh_lh_L_O4_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher lh_lh_L_O4_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_rh_rh_R_CG_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,rh_rh_R_CG_A,RH,cingulate,cingulate,,,cingulate,higher,t,3.6740378684183006,0.23145687865527387,3.6740378684183006,0.0002499752834826681,0.0010900334042002787,"AD is associated with higher rh_rh_R_CG_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher rh_rh_R_CG_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_rh_rh_R_OR_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,rh_rh_R_OR_A,RH,orbital,orbital,,,frontal,higher,t,3.661522300311751,0.231058641026168,3.661522300311751,0.00026235939676696053,0.0010900334042002787,"AD is associated with higher rh_rh_R_OR_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher rh_rh_R_OR_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_lh_lh_L_SF7_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,lh_lh_L_SF7_A,LH,superior_frontal,superior_frontal,,,frontal,higher,t,3.66037380336939,0.23086573255050166,3.66037380336939,0.0002635242304420154,0.0010900334042002787,"AD is associated with higher lh_lh_L_SF7_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher lh_lh_L_SF7_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_lh_lh_L_FO2_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,lh_lh_L_FO2_A,LH,fronto_orbital,fronto_orbital,,,frontal,higher,t,3.655881166863435,0.23035127574831818,3.655881166863435,0.00026812757533615876,0.0010900334042002787,"AD is associated with higher lh_lh_L_FO2_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher lh_lh_L_FO2_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_rh_rh_R_O2_2_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,rh_rh_R_O2_2_A,RH,occipital,occipital,,,occipital,higher,t,3.6470163446529247,0.2298098664729947,3.6470163446529247,0.0002774331002624624,0.0010900334042002787,"AD is associated with higher rh_rh_R_O2_2_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher rh_rh_R_O2_2_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_rh_rh_R_TR3_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,rh_rh_R_TR3_A,RH,triangular,triangular,,,frontal,higher,t,3.642416771990761,0.2296802935508953,3.642416771990761,0.0002823799262361515,0.0010900334042002787,"AD is associated with higher rh_rh_R_TR3_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher rh_rh_R_TR3_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_lh_lh_L_SF6_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,lh_lh_L_SF6_A,LH,superior_frontal,superior_frontal,,,frontal,higher,t,3.634936189677154,0.2292613439366996,3.634936189677154,0.0002906023919237092,0.0010900334042002787,"AD is associated with higher lh_lh_L_SF6_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher lh_lh_L_SF6_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_lh_lh_L_O2_2_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,lh_lh_L_O2_2_A,LH,occipital,occipital,,,occipital,higher,t,3.6185790498131722,0.2280877599917548,3.6185790498131722,0.0003093705750971768,0.0010900334042002787,"AD is associated with higher lh_lh_L_O2_2_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher lh_lh_L_O2_2_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_lh_lh_L_OR_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,lh_lh_L_OR_A,LH,orbital,orbital,,,frontal,higher,t,3.617805858051355,0.22847499396559112,3.617805858051355,0.0003102852695872387,0.0010900334042002787,"AD is associated with higher lh_lh_L_OR_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher lh_lh_L_OR_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_rh_rh_R_M1_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,rh_rh_R_M1_A,RH,medial_region,medial_region,,,medial,higher,t,3.617765685771313,0.22809110760592288,3.617765685771313,0.0003103328630632417,0.0010900334042002787,"AD is associated with higher rh_rh_R_M1_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher rh_rh_R_M1_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_lh_lh_L_M1_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,lh_lh_L_M1_A,LH,medial_region,medial_region,,,medial,higher,t,3.598960406759513,0.22702955493124663,3.598960406759513,0.0003333793743431925,0.0010900334042002787,"AD is associated with higher lh_lh_L_M1_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher lh_lh_L_M1_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_rh_rh_R_TR2_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,rh_rh_R_TR2_A,RH,triangular,triangular,,,frontal,higher,t,3.589301911558396,0.22626015914438902,3.589301911558396,0.0003458303678219428,0.0010900334042002787,"AD is associated with higher rh_rh_R_TR2_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher rh_rh_R_TR2_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_rh_rh_R_O2_1_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,rh_rh_R_O2_1_A,RH,occipital,occipital,,,occipital,higher,t,3.586199895764651,0.22608945651246587,3.586199895764651,0.0003499207802637072,0.0010900334042002787,"AD is associated with higher rh_rh_R_O2_1_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher rh_rh_R_O2_1_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_atomic_roi_lh_lh_L_FP1_A,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,lh_lh_L_FP1_A,LH,frontal_pole,frontal_pole,,,frontal,higher,t,3.5837638528082136,0.22571031080816525,3.5837638528082136,0.00035316473816614404,0.0010900334042002787,"AD is associated with higher lh_lh_L_FP1_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with higher lh_lh_L_FP1_A Yale 696 cortical thickness compared with CN, after adjustment for age, sex, education.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_group_summary_yale_corpus_callosum_or_cingulate_adjacent,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,group_summary,group_enrichment,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,,,corpus_callosum_or_cingulate_adjacent,corpus_callosum_or_cingulate_adjacent,,,cingulate,higher,mean_abs_t,3.885632751816264,0.2437882265399405,,,,"AD-versus-CN effects are concentrated in Yale code-group corpus callosum or cingulate adjacent regions, where 5/6 regions meet support criteria.","AD-versus-CN effects are concentrated in Yale code-group corpus callosum or cingulate adjacent regions, where 5/6 regions meet support criteria.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_group_summary_yale_occipital,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,group_summary,group_enrichment,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,,,occipital,occipital,,,occipital,higher,mean_abs_t,3.7052093985748735,0.2334101560090553,,,,"AD-versus-CN effects are concentrated in Yale code-group occipital regions, where 5/10 regions meet support criteria.","AD-versus-CN effects are concentrated in Yale code-group occipital regions, where 5/10 regions meet support criteria.",True,supported
ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78_group_summary_yale_fronto_orbital,ADNI_BASELINE_FS8_THICKNESS_YALE696_DX_CN_AD_f593d32f78,group_summary,group_enrichment,ADNI_baseline,pooled,fs8_thickness_yale696,thickness,freesurfer8,yale696,diagnosis_binary_ad_cn,age; sex; education,1131,150,,,fronto_orbital,fronto_orbital,,,frontal,higher,mean_abs_t,3.646152290570336,0.22977701316801755,,,,"AD-versus-CN effects are concentrated in Yale code-group fronto orbital regions, where 3/10 regions meet support criteria.","AD-versus-CN effects are concentrated in Yale code-group fronto orbital regions, where 3/10 regions meet support criteria.",True,supported
