claim_family_id,setting_id,dataset,feature_space,claim_type,target,n_composite,n_atomic,n_group,n_ranking,n_direction,n_latent,n_normative,n_total_claims,n_samples,n_features,n_warnings
AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE_227148901e,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE,AIBL_baseline,fs8_subcortical_volume,age_association,age,1,20,4,1,1,0,0,27,1298,64,1
AIBL_BASELINE_FS8_CORTICAL_VOLUME_LATENT_b7dd2d2473,AIBL_BASELINE_FS8_CORTICAL_VOLUME_LATENT,AIBL_baseline,fs8_cortical_volume,latent_morphometry_axis,,0,0,0,0,0,8,0,8,1298,68,1
AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_LATENT_ee1ab342c0,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_LATENT,AIBL_baseline,fs8_subcortical_volume,latent_morphometry_axis,,0,0,0,0,0,8,0,8,1298,64,1
AIBL_BASELINE_FS8_CORTICAL_VOLUME_NORMATIVE_DX_d7ee64afaf,AIBL_BASELINE_FS8_CORTICAL_VOLUME_NORMATIVE_DX,AIBL_baseline,fs8_cortical_volume,normative_deviation,,0,0,0,0,0,0,0,0,1298,68,1
AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_NORMATIVE_DX_7e1eac91dd,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_NORMATIVE_DX,AIBL_baseline,fs8_subcortical_volume,normative_deviation,,0,0,0,0,0,0,8,8,1298,64,1
OASIS1_BASELINE_FS8_CORTICAL_VOLUME_CDR_IMPAIRMENT_9a4bc2fb06,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_CDR_IMPAIRMENT,OASIS1_baseline,fs8_cortical_volume,cdr_impairment_contrast,diagnosis_binary_impairment_cdr,1,30,2,1,1,0,0,35,235,68,0
OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_CDR_IMPAIRMENT_38946d7d18,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_CDR_IMPAIRMENT,OASIS1_baseline,fs8_subcortical_volume,cdr_impairment_contrast,diagnosis_binary_impairment_cdr,1,20,4,1,1,0,0,27,235,64,0
OASIS1_BASELINE_FS8_CORTICAL_VOLUME_MMSE_5e704a8ccb,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_MMSE,OASIS1_baseline,fs8_cortical_volume,mmse_association,mmse,1,30,2,1,1,0,0,35,235,68,0
OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE_543c6804cb,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE,OASIS1_baseline,fs8_subcortical_volume,mmse_association,mmse,1,20,4,1,1,0,0,27,235,64,0
OASIS1_BASELINE_FS8_CORTICAL_VOLUME_AGE_6d02af05ab,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_AGE,OASIS1_baseline,fs8_cortical_volume,age_association,age,1,30,3,1,1,0,0,36,235,68,0
OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE_4afe8f975c,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE,OASIS1_baseline,fs8_subcortical_volume,age_association,age,1,20,4,1,1,0,0,27,235,64,0
