claim_family_id,setting_id,dataset,feature_space,claim_type,target,n_composite,n_atomic,n_group,n_ranking,n_direction,n_latent,n_normative,n_total_claims,n_samples,n_features,n_warnings
ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_LATENT_577d028476,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_LATENT,ADNI_SPM_MATCHED,spm_thickness_schaefer200_17,latent_morphometry_axis,,0,0,0,0,0,7,0,7,2892,202,0
ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_AD_e23c09f7c3,ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_AD,ADNI_SPM_MATCHED,fs8_thickness_schaefer200_7,diagnosis_contrast,diagnosis_binary_ad_cn,1,30,2,1,1,0,0,35,1554,202,0
ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_MCI_7c0406a16d,ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_MCI,ADNI_SPM_MATCHED,fs8_thickness_schaefer200_7,diagnosis_contrast,diagnosis_binary_mci_cn,1,30,3,1,1,0,0,36,2203,202,0
ADNI_SPM_MATCHED_FS8_SCHAEFER7_MMSE_198f984def,ADNI_SPM_MATCHED_FS8_SCHAEFER7_MMSE,ADNI_SPM_MATCHED,fs8_thickness_schaefer200_7,mmse_association,mmse,1,30,2,1,1,0,0,35,2892,202,0
ADNI_SPM_MATCHED_FS8_SCHAEFER7_AGE_7de109da98,ADNI_SPM_MATCHED_FS8_SCHAEFER7_AGE,ADNI_SPM_MATCHED,fs8_thickness_schaefer200_7,age_association,age,1,30,3,1,1,0,0,36,2892,202,0
ADNI_SPM_MATCHED_FS8_SCHAEFER7_LATENT_8c136f9fde,ADNI_SPM_MATCHED_FS8_SCHAEFER7_LATENT,ADNI_SPM_MATCHED,fs8_thickness_schaefer200_7,latent_morphometry_axis,,0,0,0,0,0,6,0,6,2892,202,0
ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_DX_CN_AD_5a4dc5a219,ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_DX_CN_AD,ADNI_baseline,fastsurfer_cortical_volume,diagnosis_contrast,diagnosis_binary_ad_cn,1,1,1,1,1,0,0,5,660,68,0
ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_DX_CN_AD_a6bd6756b7,ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_DX_CN_AD,ADNI_baseline,fastsurfer_subcortical_volume,diagnosis_contrast,diagnosis_binary_ad_cn,1,20,4,1,1,0,0,27,660,64,0
ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_DX_CN_MCI_85a5f25df2,ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_DX_CN_MCI,ADNI_baseline,fastsurfer_cortical_volume,diagnosis_contrast,diagnosis_binary_mci_cn,1,0,1,1,1,0,0,4,997,68,0
ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_DX_CN_MCI_07dcb324ee,ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_DX_CN_MCI,ADNI_baseline,fastsurfer_subcortical_volume,diagnosis_contrast,diagnosis_binary_mci_cn,1,9,3,1,1,0,0,15,997,64,0
ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_MMSE_8d0cdf659c,ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_MMSE,ADNI_baseline,fastsurfer_cortical_volume,mmse_association,mmse,1,0,0,1,1,0,0,3,1272,68,0
ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_MMSE_f0bd89a08f,ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_MMSE,ADNI_baseline,fastsurfer_subcortical_volume,mmse_association,mmse,1,9,3,1,1,0,0,15,1272,64,0
ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_AGE_c84f25786a,ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_AGE,ADNI_baseline,fastsurfer_cortical_volume,age_association,age,1,30,2,1,1,0,0,35,1299,68,0
ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_AGE_f50acbcf01,ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_AGE,ADNI_baseline,fastsurfer_subcortical_volume,age_association,age,1,20,3,1,1,0,0,26,1299,64,0
ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_LATENT_cfc488de72,ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_LATENT,ADNI_baseline,fastsurfer_cortical_volume,latent_morphometry_axis,,0,0,0,0,0,7,0,7,1299,68,0
ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_LATENT_04e6ea33bd,ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_LATENT,ADNI_baseline,fastsurfer_subcortical_volume,latent_morphometry_axis,,0,0,0,0,0,6,0,6,1299,64,0
ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_NORMATIVE_DX_3663c3e867,ADNI_BASELINE_FASTSURFER_CORTICAL_VOLUME_NORMATIVE_DX,ADNI_baseline,fastsurfer_cortical_volume,normative_deviation,,0,0,0,0,0,0,16,16,1299,68,0
ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_NORMATIVE_DX_28a646ab83,ADNI_BASELINE_FASTSURFER_SUBCORTICAL_VOLUME_NORMATIVE_DX,ADNI_baseline,fastsurfer_subcortical_volume,normative_deviation,,0,0,0,0,0,0,42,42,1299,64,0
ADNI_BASELINE_FS8_CORTICAL_VOLUME_SEX_MALE_FEMALE_ab13739ea5,ADNI_BASELINE_FS8_CORTICAL_VOLUME_SEX_MALE_FEMALE,ADNI_baseline,fs8_cortical_volume,demographic_contrast,sex_binary_male_female,1,30,3,1,1,0,0,36,1299,68,0
ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_SEX_MALE_FEMALE_def245ddb1,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_SEX_MALE_FEMALE,ADNI_baseline,fs8_subcortical_volume,demographic_contrast,sex_binary_male_female,1,20,5,1,1,0,0,28,1299,64,0
ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_SEX_MALE_FEMALE_57cecac1d4,ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_SEX_MALE_FEMALE,ADNI_baseline,fs8_thickness_schaefer200_7,demographic_contrast,sex_binary_male_female,1,30,3,1,1,0,0,36,2173,202,0
ADNI_BASELINE_FS8_CORTICAL_VOLUME_FIELD_3T_15T_81b5574db6,ADNI_BASELINE_FS8_CORTICAL_VOLUME_FIELD_3T_15T,ADNI_baseline,fs8_cortical_volume,acquisition_contrast,field_strength_binary_3t_15t,1,30,3,1,1,0,0,36,1030,68,0
ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_FIELD_3T_15T_34f2cb4438,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_FIELD_3T_15T,ADNI_baseline,fs8_subcortical_volume,acquisition_contrast,field_strength_binary_3t_15t,1,20,5,1,1,0,0,28,1030,64,0
ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_FIELD_3T_15T_0443e67f5b,ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_FIELD_3T_15T,ADNI_baseline,fs8_thickness_schaefer200_7,acquisition_contrast,field_strength_binary_3t_15t,1,30,2,1,1,0,0,35,1030,202,0
ADNI_BASELINE_FS8_CORTICAL_VOLUME_ADNI1_VS_ADNI3_2c8cc07760,ADNI_BASELINE_FS8_CORTICAL_VOLUME_ADNI1_VS_ADNI3,ADNI_baseline,fs8_cortical_volume,acquisition_contrast,cohort_binary_adni3_adni1,1,0,0,1,1,0,0,3,817,68,0
ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_ADNI1_VS_ADNI3_c7df0c33a5,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_ADNI1_VS_ADNI3,ADNI_baseline,fs8_subcortical_volume,acquisition_contrast,cohort_binary_adni3_adni1,1,0,0,1,1,0,0,3,817,64,0
ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_ADNI1_VS_ADNI3_9c63e0c9bf,ADNI_BASELINE_FS8_THICKNESS_SCHAEFER200_7_ADNI1_VS_ADNI3,ADNI_baseline,fs8_thickness_schaefer200_7,acquisition_contrast,cohort_binary_adni3_adni1,1,30,5,1,1,0,0,38,1258,202,0
